PassengerId,Survived
1235,0.4289930831875191
945,0.43011681932370593
961,0.4289925077984963
916,0.4290225064267214
951,0.42899656779986034
956,0.42932993670718456
1034,0.4290137526095986
1267,0.42899656779986034
1076,0.42913380852297683
1094,0.42912723886824117
973,0.4291513250972299
1006,0.4291878524429025
1048,0.4290005875269003
966,0.42899656779986034
967,0.4289922066929278
1110,0.42913380852297683
1299,0.4291063590516636
1216,0.4290005875269003
1109,0.4291272388717262
1292,0.4290005875269003
1033,0.4290005875269003
1198,0.4290725680904603
1208,0.42912723886824117
1144,0.42912723886824117
1164,0.42915890361694126
1206,0.42899656779986034
1088,0.4289827110380169
1134,0.4291063590516636
1263,0.42899656779986034
1306,0.42899656779986034
1131,0.42915890361694126
1200,0.4291272388717262
1282,0.42899555670660394
1303,0.42909319573821986
1042,0.4289930831875191
1071,0.42898517383417994
1073,0.4291063590516636
904,0.4291878524429025
1179,0.4291513250972299
1185,0.4291272388717262
1266,0.42915890362096154
1219,0.4289922066929278
1289,0.42913380852297683
988,0.4291878524429025
940,0.42899656779986034
1128,0.42912723886824117
1010,0.4289922066929278
1162,0.4289922066929278
1104,0.42902230141613823
1244,0.42902230141613823
1126,0.42912723886824117
1080,0.4289988189814054
1234,0.42897039516229485
1252,0.4289887406440083
1257,0.42897039649914004
1122,0.42902230141613823
1245,0.4291798839123985
1277,0.42923265512974246
1242,0.4289930831875191
918,0.4289930831875191
915,0.4289893026402752
906,0.4291878524429025
942,0.4291513250972299
1287,0.4291878524429025
912,0.42912723886824117
1260,0.4289930831875191
1294,0.4289930831875191
926,0.42912723886824117
1014,0.42915890361694126
931,0.4290220557946137
992,0.42915890361694126
1069,0.42912723886824117
1256,0.42915890361694126
1074,0.4291878524429025
936,0.4291878524429025
984,0.42909319574547644
1038,0.42899555670660394
1137,0.4291513250972299
1248,0.42985463423310805
1058,0.4289922066929278
1270,0.42899555670660394
1295,0.42899555670660394
1031,0.42897251289334654
1032,0.4313403913347061
1190,0.42899555670660394
1107,0.42899555670660394
959,0.42899555670660394
1188,0.42919774207601225
1259,0.4290414580792388
1182,0.42899555670660394
1283,0.4289965678000826
1067,0.4290069561709473
1070,0.4289882915533163
1218,0.43060048147087754
1253,0.4293193887520903
1068,0.4290351398431804
1222,0.4290069561709473
1059,0.42978281327515494
1086,0.42899970607783966
1139,0.4292919753457135
914,0.4290005875269003
1004,0.42899656779986034
923,0.43046662736062036
1211,0.43046662736062036
1230,0.42902230141613823
1046,0.4312517634483923
1066,0.42898060177666564
1271,0.4312517634483923
920,0.42899555670660394
1133,0.4290069561709473
938,0.4289922066929278
1223,0.4289922066929278
947,0.43094799778590065
899,0.4292919753457135
960,0.4289922066929278
1023,0.4289922066929278
1142,0.42923265512974246
907,0.42937298242440824
965,0.4289922066929278
1060,0.42899656779986034
1100,0.42899656779986034
1132,0.42899656779986034
1296,0.42912723886824117
1116,0.42899656779986034
933,0.42899555670660394
1036,0.42899555670660394
1040,0.42899555670660394
1050,0.42899555670660394
1123,0.4290005875269003
1197,0.42915890362096154
1215,0.42899555670660394
903,0.42899555670660394
905,0.42934135927842115
922,0.42934135927842115
974,0.42899555670660394
986,0.4289922066929278
993,0.42934135927842115
1011,0.42943480626134534
1035,0.42902230141613823
1041,0.4292919753457135
1082,0.42934135927842115
1083,0.42899555670660394
1095,0.42937298247701144
